1.  id: 1,   nome: Crystal Lizard,                   res_fisica: 10, res_magica: 20, res_fogo: 5,  res_eletrico: 0  
2.  id: 2,   nome: Parasitic Wall Hugger,            res_fisica: 30, res_magica: 15, res_fogo: 25, res_eletrico: 10  
3.  id: 3,   nome: Oscar of Astora (Hollowed),        res_fisica: 50, res_magica: 40, res_fogo: 30, res_eletrico: 20  
4.  id: 4,   nome: Black Knight,                      res_fisica: 60, res_magica: 25, res_fogo: 20, res_eletrico: 35  
5.  id: 5,   nome: Blowdart Sniper,                   res_fisica: 20, res_magica: 10, res_fogo: 15, res_eletrico: 5  
6.  id: 6,   nome: Darkmoon Soldiers,                 res_fisica: 40, res_magica: 50, res_fogo: 35, res_eletrico: 25  
7.  id: 7,   nome: Mass of Souls,                     res_fisica: 5,  res_magica: 60, res_fogo: 40, res_eletrico: 30  
8.  id: 8,   nome: Possessed Tree,                    res_fisica: 55, res_magica: 30, res_fogo: 45, res_eletrico: 15  
9.  id: 9,   nome: Giant Cat,                         res_fisica: 35, res_magica: 10, res_fogo: 10, res_eletrico: 5  
10. id: 10,  nome: Mimic,                             res_fisica: 45, res_magica: 20, res_fogo: 25, res_eletrico: 10  
11. id: 11,  nome: The Channeler,                     res_fisica: 25, res_magica: 55, res_fogo: 30, res_eletrico: 20  
12. id: 12,  nome: Vagrants,                           res_fisica: 15, res_magica: 10, res_fogo: 5,  res_eletrico: 0  

13. id: 13,  nome: Basilisk,                           res_fisica: 30, res_magica: 20, res_fogo: 10, res_eletrico: 10  
14. id: 14,  nome: Tree Lizard,                        res_fisica: 10, res_magica: 15, res_fogo: 5,  res_eletrico: 0  
15. id: 15,  nome: Ents,                              res_fisica: 50, res_magica: 25, res_fogo: 30, res_eletrico: 10  
16. id: 16,  nome: Frog-Ray,                          res_fisica: 20, res_magica: 10, res_fogo: 5,  res_eletrico: 15  
17. id: 17,  nome: Small Mushroom People,             res_fisica: 10, res_magica: 5,  res_fogo: 5,  res_eletrico: 0  
18. id: 18,  nome: Large Mushroom People,             res_fisica: 30, res_magica: 15, res_fogo: 10, res_eletrico: 5  
19. id: 19,  nome: Man-Eater Shell,                    res_fisica: 40, res_magica: 20, res_fogo: 15, res_eletrico: 10  
20. id: 20,  nome: Small Rats,                          res_fisica: 5,  res_magica: 0,  res_fogo: 0,   res_eletrico: 0  
21. id: 21,  nome: Large Rats,                          res_fisica: 15, res_magica: 5,  res_fogo: 5,   res_eletrico: 0  
22. id: 22,  nome: Snow Rat,                            res_fisica: 20, res_magica: 10, res_fogo: 0,   res_eletrico: 0  
23. id: 23,  nome: Drake,                              res_fisica: 35, res_magica: 20, res_fogo: 25, res_eletrico: 10  
24. id: 24,  nome: Giant Leech,                        res_fisica: 25, res_magica: 15, res_fogo: 10, res_eletrico: 5  
25. id: 25,  nome: Giant Mosquito,                     res_fisica: 10, res_magica: 5,  res_fogo: 0,   res_eletrico: 0  
26. id: 26,  nome: Cragspider,                          res_fisica: 30, res_magica: 10, res_fogo: 15, res_eletrico: 5  
